,Expense,Category,SubCat
,Fisher And Paykel Hea  Auckland      Nz,Work Lunch,
,Spark Prepaid          0800323232    Nzl,Cellphone,
,Spareto Ou             Tallinn       Ee,Misc,
,Countdown Highland     Auckland      Nzl,Groceries,
,Spark Phone Account    Auckland      Nzl,Internet,
,Burger King            Highland Park Nz,Takeaways,
,F2C*Ihc                Auckland      Nz,Donation,
,Fresh Choice Half Moon Auckland      Nzl,Groceries,
,Bunnings - 9453        Botany        Nz,Hardware,
,Uber   *Eats           Help.Uber.Com Nz,Takeaways,
,F&P Daniell Cafe       Auckland      Nz,Work Lunch,
,Z Pakuranga            Auckland      Nz,Fuel,
,Kmart New Zealand Lt   Auckland      Nzl,Shopping,K-Mart
,Briscoes Botany        Botany        Nz,Shopping,Briscoes
,New World Botany       Manukau       Nz,Groceries,
,Marina Medical         Half Moon Bay Nz,Doctor,
,Spotify P13144173B     Stockholm     Se,Subscriptions,Spotify
,Fisher And Paykel Heal Auckland      Nz,Work Lunch,
,Caffe Massimo Takapuna Takapuna      Nz,Takeaways,
,Farm Cove Superette    Botany        Nz,Groceries,
,Delishimo              Auckland      Nzl,Takeaways,
,Bucklands Beach Vet    Auckland      Nz,Veterinary,
,Audible Australia      Melbourne     Au,Subscriptions,Audible
,Audible*986Vu6Dx3      Amzn.Com/Bill Nj,Subscriptions,Audible
,Www.Unlocator.Com      Kobenhavn S   Dk,Subscriptions,Unlocator
,Marina Chemist Limited Half Moon Bay Nz,Doctor,
,East Care Medical      Howick        Nz,Doctor,
,Audible*Xl1161Ux3      Amzn.Com/Bill Nj,Subscriptions,Audible
,Press House Botany     Auckland      Nzl,Takeaways,
,Countdown Pakuranga    Auckland      Nzl,Groceries,
,The Warehouse 114      Pakuranga     Nz,Shopping,The Warehouse
,Mylotto.Co.Nz          New Zealand   Nz,Lotto,
,Uber Eats Help.Uber.Co Amsterdam     Nz,Takeaways,
,Dollar Outlet Takanini Auckland      Nz,Shopping,Dollar Store
,Chemist Warehouse      Northpark     Nz,Shopping,Chemist Warehouse
,Chipmunksplaylandcaf   Auckland      Nzl,Misc,Chipmunks
,Kagura                 Auckland      Nzl,Takeaways,
,Farm Cove Liquor Centr Auckland      Nzl,Takeaways,
,Round The Bays Rp      Penrose       Nz,Misc,RoundTheBays
,The Baby Factory 20    Flat Bush     Nz,Shopping,BabyFactory
,Udemy                  415-6025987   Ca,Shopping,OnlineCourse
,Nam Nam Harbour        Auckland      Nzl,Takeaways,
,Downtown Car Park      Auckland      Nz,Parking,
,Liquorette             Auckland      Nz,Takeaways,
,Coca Cola              Hamilton      Nzl,Takeaways,
,Akld Transport Parking Auckland      Nz,Parking,
,Wikipedia Gift         877-600-9454  Ca,Donation,Wikipedia
,Z Ti Rakau Drive       Burswood      Nz,Fuel,
,Farmers 1377           Auckland      Nzl,Shopping,Farmers
,Bargain City Pakuranga Auckland      Nz,Shopping,Dollar Store
,Spotify P12A653B38     Stockholm     Se,Subscriptions,Spotify
,Subway Pakuranga Mall  Auckland      Nz,Takeaways,
,Fresh Choice Half Moon Auckland      Nz,Groceries,
,Countdown Highland     Auckland      Nz,Groceries,
,Life Pharmacy Pakurang Pakuranga     Nz,Doctor,
,Breville New Zealand   0800273845    Nz,Misc,
,Worldremitmoneytransfe Auckland      Nz,MoneyToSA,
,Countdown Pakuranga    Auckland      Nz,Groceries,
,Countdown Botany       Auckland      Nz,Groceries,
,Z Pakuranga            Pakuranga     Nz,Fuel,
,Mcdonalds Pakuranga    Auckland      Nz,Takeaways,
,Tradingview            6142853455    Oh,Subscriptions,TradingView
,Countdown Aviemore Dr  Manukau       Nzl,Groceries,
,Dominos Pizza          Auckland      Nz,Takeaways,
,Seven Mart             Auckland      Nz,Shopping,Dollar Store
,Pak N Save Botany      Auckland      Nz,Groceries,
,Audible Us*1X28U1Aw3   888-283-5051  Nj,Subscriptions,Audible
,Aliexpress.Com         London        Gb,Misc,Aliexpress
,Devon Eatery           Auckland      Nz,Takeaways,
,Qantas Mo              Auckland      Nz,Travel,Qantas
,Bam*@ Food Culture     Half Moon Bay Nz,Takeaways,
,Sparksport Co Nz       Auckland      Nzl,Subscriptions,SparkSport
,Middlemore Hospital Pa Auckland      Nz,Parking,Hospital
,Twl 114 Pakuranga      Auckland      Nz,Shopping,The Warehouse
,Hwb Botany Town Centre Auckland      Nz,Takeaways,Hwb?
,Eastern Rentals        Auckland      Nz,Misc,Eastern Rentals
,Mobil Ti Rakau Drive   Auckland      Nz,Fuel,Eastern Rentals
,Uber Trip Help.Uber.Co Vorden        Nz,Travel,Uber
,Kfc - 551              Pakuranga     Nz,Takeaways,
,Oma                    Wellington    Nzl,Misc,
,Akl Airport Carpark    Auckland      Nz,Travel,Parking
,Aussie Butcher         Manukau       Nzl,Groceries,Aussie Butcher
,Carls Jr Pakuranga     Auckland      Nzl,Takeaways,
,Provender              Auckland      Nz,Takeaways,Vnding Machine
,The Coffee Club Manuka Auckland      Nz,Takeaways,
,Countdown Aviemore Dr  Manukau       Nz,Groceries,
,Pakuranga Liquor Spot  Auckland      Nz,Takeaways,
,Audible*2D5D31Sy3      Amzn.Com/Bill Nj,Subscriptions,Audible
,Columbus Pakuranga     Manukau       Nz,Takeaways,
,Dept Internal Affairs  Wellington    Nz,Misc,Visa
,Botany Central Post Sh Auckland      Nz,Misc,Post
,Ronnies Cafe           Howick        Nz,Takeaways,
,Waste Disposal Service East Tamaki   Nz,Subscriptions,Garden Waste
,Sony Bakery Pakuranga  Auckland      Nz,Takeaways,
,Spotify P0F653C2Fc     Stockholm     Se,Subscriptions,Spotify
,Audible*1444K1Xj3      Amzn.Com/Bill Nj,Subscriptions,Audible
,Fresh Choice Half Moon   Auckland,Groceries,
,Hallenstein Pop Up Sto Auckland      Nzl,Shopping,Hallenstein
,Noel Leeming 83        Manukau       Nz,Shopping,Noel Leeming
,Krispy Kreme           Auckland      Nz,Takeaways,Krispy Kreme
,Noel Leeming 1W        Auckland      Nz,Shopping,Noel Leeming
,Krispy Kreme           Auckland      Nz,Takeaways,Krispy Kreme
,Highbrook Automotive   Auckland      Nz,Misc,Car
,Active Physio          East Tamaki N Nz,Doctor,Physio
,Paper Plus Highland Pk Auckland      Nz,Shopping,
,Spotify P0Fcad7A07     Stockholm     Se,Subscriptions,Spotify
,Audible*Mc8Zv5751      Amzn.Com/Bill Nj,Subscriptions,Audible
,Interest,Interest,CredicCard
,Takealot Online        Foreshore     Za,Shopping,Takealot
,Wish.Com               8002660172    Ca,Shopping,Wish
,H&M                    Auckland      Nzl,Shopping,H&M
,The Burbs Cafe         Auckland      Nzl,Takeaways,
,Spotify P1031D143A     Stockholm     Se,Subscriptions,Spotify
,Immigration Nz         Auckland      Nz,Misc,Visa
,Daruma Ramen           Auckland      Nzl,Takeaways,
,Botany Central Post Sh Auckland      Nzl,Misc,Post
,Life Pharmacy Botany   Botany        Nz,Doctor,
,Audible*My3Ls9Yh0      Amzn.Com/Bill Nj,Subscriptions,Audible
,Nz Transport Agency    Palmerston No Nz,Parking,
,Dominos Pakuranga      Auckland      Nz,Takeaways,
,Hollywood Bakery Botan Golflands     Nz,Takeaways,
,Tyre City Botany       Auckland      Nz,Misc,Car
,Countdown Botany       Auckland      Nzl,Groceries,
,Wsl East Tamaki        Pakuranga     Nz,Misc,
,Givealittle            Auckland      Nz,Donation,
,Audible*9498L4Pm3      Amzn.Com/Bill Nj,Subscriptions,Audible
,2 Cheap Pakuranga      Auckland      Nzl,Misc,
,Muffin Break Pakuranga Auckland      Nzl,Takeaways,
,Hospice South Auckla   Papakura      Nzl,Shopping,Hospice
,Kmart                  Auckland      Nzl,Shopping,K-Mart
,Hahei Beach Cafe       Hahei         Nzl,Takeaways,
,Pakuranga Vet Clinic   Auckland      Nz,Veterinary,
,Hahei Beach Store      Coromandal    Nz,Takeaways,
,Bp Connect Papakura Ms Auckland      Nzl,Fuel,
,Postie Plus            Thames        Nz,Misc,Post
,The Warehouse 149      Thames        Nz,Shopping,The Warehouse
,Mcdonalds Drury Msa    Drury         Nz,Takeaways,
,Pak N Save Thames      Thames        Nz,Groceries,
,Mcdonalds Thames       Thames        Nz,Takeaways,
